Log Type: stdout

Log Upload Time: Wed Jun 26 21:50:26 +0200 2024

Log Length: 13339

########## OUTPUT ##########
Country Code: ao, HTTP: 0.0%, HTTPS: 100.0%, Count: 256
Country Code: bj, HTTP: 0.0%, HTTPS: 100.0%, Count: 104
Country Code: cg, HTTP: 0.0%, HTTPS: 100.0%, Count: 19
Country Code: mp, HTTP: 0.0%, HTTPS: 100.0%, Count: 180
Country Code: mq, HTTP: 0.0%, HTTPS: 100.0%, Count: 1
Country Code: sb, HTTP: 0.0%, HTTPS: 100.0%, Count: 1
Country Code: sz, HTTP: 0.0%, HTTPS: 100.0%, Count: 190
Country Code: td, HTTP: 0.0%, HTTPS: 100.0%, Count: 180
Country Code: kn, HTTP: 0.0%, HTTPS: 100.0%, Count: 1
Country Code: cw, HTTP: 0.0%, HTTPS: 100.0%, Count: 7
Country Code: bh, HTTP: 0.0%, HTTPS: 100.0%, Count: 317
Country Code: gf, HTTP: 0.0%, HTTPS: 100.0%, Count: 180
Country Code: wf, HTTP: 0.0%, HTTPS: 100.0%, Count: 181
Country Code: ax, HTTP: 0.2%, HTTPS: 99.8%, Count: 444
Country Code: na, HTTP: 0.2%, HTTPS: 99.8%, Count: 854
Country Code: vg, HTTP: 0.4%, HTTPS: 99.6%, Count: 267
Country Code: ad, HTTP: 0.4%, HTTPS: 99.6%, Count: 729
Country Code: mv, HTTP: 0.5%, HTTPS: 99.5%, Count: 787
Country Code: aw, HTTP: 0.6%, HTTPS: 99.4%, Count: 176
Country Code: as, HTTP: 0.7%, HTTPS: 99.3%, Count: 835
Country Code: nr, HTTP: 0.9%, HTTPS: 99.1%, Count: 704
Country Code: dj, HTTP: 0.9%, HTTPS: 99.1%, Count: 234
Country Code: pm, HTTP: 1.5%, HTTPS: 98.5%, Count: 598
Country Code: pf, HTTP: 1.6%, HTTPS: 98.4%, Count: 190
Country Code: gg, HTTP: 1.9%, HTTPS: 98.1%, Count: 2636
Country Code: gm, HTTP: 2.0%, HTTPS: 98.0%, Count: 200
Country Code: cv, HTTP: 2.3%, HTTPS: 97.7%, Count: 641
Country Code: vc, HTTP: 2.4%, HTTPS: 97.6%, Count: 1476
Country Code: sm, HTTP: 2.5%, HTTPS: 97.5%, Count: 1163
Country Code: zm, HTTP: 2.6%, HTTPS: 97.4%, Count: 191
Country Code: qa, HTTP: 2.7%, HTTPS: 97.3%, Count: 1460
Country Code: ug, HTTP: 3.1%, HTTPS: 96.9%, Count: 1925
Country Code: ag, HTTP: 3.2%, HTTPS: 96.8%, Count: 1735
Country Code: sa, HTTP: 3.3%, HTTPS: 96.7%, Count: 5264
Country Code: ht, HTTP: 3.7%, HTTPS: 96.3%, Count: 778
Country Code: je, HTTP: 3.8%, HTTPS: 96.2%, Count: 288
Country Code: bs, HTTP: 4.5%, HTTPS: 95.5%, Count: 794
Country Code: ky, HTTP: 5.0%, HTTPS: 95.0%, Count: 299
Country Code: bw, HTTP: 5.0%, HTTPS: 95.0%, Count: 377
Country Code: pn, HTTP: 5.1%, HTTPS: 94.9%, Count: 725
Country Code: io, HTTP: 5.4%, HTTPS: 94.6%, Count: 52580
Country Code: gs, HTTP: 5.4%, HTTPS: 94.6%, Count: 372
Country Code: pg, HTTP: 5.5%, HTTPS: 94.5%, Count: 346
Country Code: bi, HTTP: 5.6%, HTTPS: 94.4%, Count: 36
Country Code: ng, HTTP: 5.8%, HTTPS: 94.2%, Count: 12963
Country Code: ai, HTTP: 6.1%, HTTPS: 93.9%, Count: 3811
Country Code: tg, HTTP: 6.3%, HTTPS: 93.8%, Count: 16
Country Code: ms, HTTP: 6.5%, HTTPS: 93.5%, Count: 310
Country Code: tl, HTTP: 7.1%, HTTPS: 92.9%, Count: 994
Country Code: fm, HTTP: 7.6%, HTTPS: 92.4%, Count: 17323
Country Code: dm, HTTP: 7.9%, HTTPS: 92.1%, Count: 746
Country Code: bb, HTTP: 7.9%, HTTPS: 92.1%, Count: 239
Country Code: mu, HTTP: 8.0%, HTTPS: 92.0%, Count: 836
Country Code: yt, HTTP: 8.1%, HTTPS: 91.9%, Count: 37
Country Code: mt, HTTP: 8.3%, HTTPS: 91.7%, Count: 2604
Country Code: cy, HTTP: 8.3%, HTTPS: 91.7%, Count: 5372
Country Code: do, HTTP: 8.5%, HTTPS: 91.5%, Count: 4670
Country Code: ac, HTTP: 8.6%, HTTPS: 91.4%, Count: 881
Country Code: tm, HTTP: 8.8%, HTTPS: 91.2%, Count: 579
Country Code: ae, HTTP: 9.6%, HTTPS: 90.4%, Count: 9885
Country Code: bm, HTTP: 9.7%, HTTPS: 90.3%, Count: 72
Country Code: nl, HTTP: 10.4%, HTTPS: 89.6%, Count: 507639
Country Code: kw, HTTP: 10.6%, HTTPS: 89.4%, Count: 407
Country Code: au, HTTP: 10.7%, HTTPS: 89.3%, Count: 332894
Country Code: fi, HTTP: 11.0%, HTTPS: 89.0%, Count: 108004
Country Code: nf, HTTP: 11.4%, HTTPS: 88.6%, Count: 501
Country Code: af, HTTP: 11.7%, HTTPS: 88.3%, Count: 871
Country Code: mg, HTTP: 11.8%, HTTPS: 88.2%, Count: 746
Country Code: lu, HTTP: 11.8%, HTTPS: 88.2%, Count: 12702
Country Code: ch, HTTP: 12.7%, HTTPS: 87.3%, Count: 190608
Country Code: sg, HTTP: 12.7%, HTTPS: 87.3%, Count: 22898
Country Code: no, HTTP: 12.8%, HTTPS: 87.2%, Count: 97058
Country Code: nz, HTTP: 12.9%, HTTPS: 87.1%, Count: 69907
Country Code: jo, HTTP: 13.2%, HTTPS: 86.8%, Count: 1770
Country Code: im, HTTP: 13.2%, HTTPS: 86.8%, Count: 1972
Country Code: is, HTTP: 13.2%, HTTPS: 86.8%, Count: 13060
Country Code: so, HTTP: 13.5%, HTTPS: 86.5%, Count: 526
Country Code: ee, HTTP: 14.0%, HTTPS: 86.0%, Count: 45358
Country Code: sv, HTTP: 14.1%, HTTPS: 85.9%, Count: 1327
Country Code: pk, HTTP: 14.1%, HTTPS: 85.9%, Count: 14620
Country Code: ki, HTTP: 14.1%, HTTPS: 85.9%, Count: 184
Country Code: de, HTTP: 14.2%, HTTPS: 85.8%, Count: 1343316
Country Code: uk, HTTP: 14.8%, HTTPS: 85.2%, Count: 718026
Country Code: cm, HTTP: 14.9%, HTTPS: 85.1%, Count: 1232
Country Code: sk, HTTP: 15.6%, HTTPS: 84.4%, Count: 108381
Country Code: co, HTTP: 16.0%, HTTPS: 84.0%, Count: 122798
Country Code: be, HTTP: 16.1%, HTTPS: 83.9%, Count: 179497
Country Code: cl, HTTP: 16.2%, HTTPS: 83.8%, Count: 47919
Country Code: me, HTTP: 16.2%, HTTPS: 83.8%, Count: 64526
Country Code: ie, HTTP: 16.6%, HTTPS: 83.4%, Count: 48125
Country Code: at, HTTP: 16.8%, HTTPS: 83.2%, Count: 144489
Country Code: se, HTTP: 16.9%, HTTPS: 83.1%, Count: 215764
Country Code: tt, HTTP: 17.0%, HTTPS: 83.0%, Count: 701
Country Code: gy, HTTP: 17.0%, HTTPS: 83.0%, Count: 229
Country Code: nu, HTTP: 17.0%, HTTPS: 83.0%, Count: 19347
Country Code: uy, HTTP: 17.2%, HTTPS: 82.8%, Count: 10836
Country Code: bg, HTTP: 17.2%, HTTPS: 82.8%, Count: 37145
Country Code: pe, HTTP: 17.6%, HTTPS: 82.4%, Count: 15670
Country Code: kz, HTTP: 17.8%, HTTPS: 82.2%, Count: 43201
Country Code: uz, HTTP: 17.9%, HTTPS: 82.1%, Count: 7847
Country Code: gr, HTTP: 18.0%, HTTPS: 82.0%, Count: 155478
Country Code: gh, HTTP: 18.3%, HTTPS: 81.7%, Count: 1239
Country Code: ca, HTTP: 18.4%, HTTPS: 81.6%, Count: 278204
Country Code: kg, HTTP: 18.5%, HTTPS: 81.5%, Count: 5018
Country Code: gt, HTTP: 18.9%, HTTPS: 81.1%, Count: 1217
Country Code: ke, HTTP: 19.1%, HTTPS: 80.9%, Count: 6406
Country Code: hn, HTTP: 19.1%, HTTPS: 80.9%, Count: 2560
